*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2022-03-25"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","LandUse","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete"
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","CO","0.18","0.19","0.16","0.17","0.16","0.13","0.15","0.17","0.16","0.15","0.15","0.17","0.16","0.05","100"
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","NO","1","2","1","1","2","1","2","2","3","2","2","2","2","4","100"
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","NO2","4","5","3","4","5","4","4","5","4","3","4","4","4","5","100"
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","NOX","5","6","3","5","6","5","6","6","6","5","5","6","6","8","100"
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","O3","32","33","38","37","31","26","23","24","20","25","29","32","29","9","100"
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","PM2.5","6","6","3","4","5","5","5","6","3","2","3","","4","4","87"
"040209","Saint John","8 Castle Street","45.28028","-66.05611","41","PE,MU,P3,R","SO2","0.6","0.5","0.4","0.7","0.5","0.2","0.1","0.1","0.2","0.1","0.7","0.3","0.4","1.5","99"
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","CO","0.17","0.26","0.2","0.17","0.18","0.15","0.2","0.19","0.19","0.19","0.17","0.24","0.19","0.1","98"
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","NO","2","2","1","1","1","1","1","1","2","2","3","3","2","4","100"
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","NO2","5","6","3","3","2","2","2","2","3","3","5","6","3","5","100"
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","NOX","7","8","4","4","3","3","2","3","5","5","7","9","5","8","100"
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","O3","25","29","37","36","31","26","20","19","16","17","21","23","25","12","100"
"040302","Moncton","5 Thanet Street","46.101578","-64.789661","9","T,LU,P4,R","PM2.5","4","4","2","3","3","4","4","5","2","2","3","4","3","3","98"
"040701","Norton - Kings County","308 Hwy 124","45.64192","-65.70127","20","RB,NU,P2,F","O3","","","","","","","","","","","","","","","4"
"040901","St. Andrews","Brandy Cove Road","45.086912","-67.074036","25","PE,SU,P2,P","O3","35","37","42","41","35","30","24","25","23","23","28","31","32","10","93"
"040901","St. Andrews","Brandy Cove Road","45.086912","-67.074036","25","PE,SU,P2,P","PM2.5","6","6","5","6","5","4","4","5","2","3","4","5","5","3","94"
"041201","Miramichi","55 Route 11 Hwy","47.071087","-65.423534","18","RB,NU,P2,A","O3","35","37","42","","","","","","","","","","","","28"
"041302","Bathurst","1255 Rough Waters Drive","47.609693","-65.633509","16","PE,SU,P2,R","NO","0","0","1","0","0","0","0","0","0","0","1","1","0","1","100"
"041302","Bathurst","1255 Rough Waters Drive","47.609693","-65.633509","16","PE,SU,P2,R","NO2","2","2","1","1","1","1","1","1","1","1","2","2","1","2","100"
"041302","Bathurst","1255 Rough Waters Drive","47.609693","-65.633509","16","PE,SU,P2,R","NOX","2","2","2","1","1","1","1","1","1","1","2","3","2","3","100"
"041302","Bathurst","1255 Rough Waters Drive","47.609693","-65.633509","16","PE,SU,P2,R","O3","33","34","38","37","31","23","19","18","18","19","22","23","26","10","100"
"041302","Bathurst","1255 Rough Waters Drive","47.609693","-65.633509","16","PE,SU,P2,R","PM2.5","5","7","4","5","4","5","8","8","4","4","6","5","6","5","99"
"041501","Edmundston","19 Queen St.","47.363195","-68.322302","159","PS,SU,P2,R","NO","3","3","1","2","2","2","2","2","3","2","2","3","2","3","100"
